FacilityNumber_receiving,FIPS_1,POPULATION_2020
25595,35001003501,5380
7425,48245006600,4303
746,39113050301,3407
7966,24003740501,5764
19233,36067014400,2428
35077,09003405402,4257
7757,24510210200,3012
24494,36065980002,12
1200791,26099230502,200
5964,36045062400,4630
32540,42129807700,3424
26276,17031811500,6031
30039,55079000700,3572
26467,39035132302,1924
1000009,04013114402,2095
34834,04013112512,566
37569,04013115300,2821
28054,17197881401,3413
19927,26163585800,4955
25892,42107001600,3877
8866,27037060508,5886
22411,27053026912,8711
1010510,27053025909,3024
33624,34023000102,4559
1002791,48071710300,3057
31800,48201342500,6240
19070,48201343601,11
369,01119011400,1478
1008745,48201343601,11
6449,48201231100,4920
31223,06085505202,7715
24858,39143960800,3397
3789,17031824004,5374
38093,47157020610,4408
21536,21179930301,5380
10201,21073071200,2895
9708,39131952300,5151
6619,18097342000,6690
36290,21173920500,2840
38479,05113950201,2516
31819,06085504318,7427
37302,06099001800,2011
507,12127083207,9319
29658,12095015105,3723
25936,06059021813,107
6290,06037502303,8396
4979,49045130600,1717
6491,08001008535,4389
20687,48003950100,2405
1000900,42075002200,6699
1002178,42075002100,5132
1003420,42075002100,5132
15534,47157020221,2742
4866,54061011300,4133
994,22019003200,2076
35870,40093955200,1718
24269,53033009300,3611
24595,04013112510,4681
23517,53033029206,4582
13652,40125501101,5923
6136,21157950101,2691
37905,05139951000,4070
1577,21035010200,4516
39371,25009250100,3753
29197,28101050301,3588
28894,13099090500,1726
28479,27053101600,3174
26260,19059451000,2446
19237,21103090200,3206
14465,17019005300,3800
35945,17029000100,2658
25349,17183011200,5271
35852,12095016803,2860
9961,48183010202,3619
21765,41051004300,1176
8929,41005022108,3168
10953,22019002702,3240
9718,22019003200,2076
1200557,18089030300,1402
17116,18127980001,22
2657,55133200202,4493
2547,05125010513,3134
28864,26125160500,4265
28506,42047950400,4039
23612,17119404100,2833
8162,17201000200,3152
1000658,17201001000,2065
20681,27141030410,5397
33282,48201210800,2623
31355,48113010500,3201
16972,25005610202,5660
20969,17099962100,5100
9759,06037228900,3420
1000788,06037240800,4438
21977,06037543306,6778
38528,06081611800,4481
24952,06037541603,2748
1003827,06037113303,4160
472,06031001703,4549
22553,06037543400,4132
31096,26163591502,3475
19980,45035010302,3433
4930,17163502300,5205
10703,39029952200,1772
39513,42095016500,5013
288,42011011703,4288
1005808,29095015500,1328
1005575,20209045100,1985
32533,38059020200,8931
10567,30083070200,1820
16389,42101033000,8213
771,42107002000,3333
30946,54095961900,3322
18298,39035107000,1658
15427,01073011708,6297
36839,48201211400,4257
1200588,18085962400,3659
1004402,18003000701,3152
34273,39035132302,1924
9023,39061023001,4939
26506,18075963200,2284
19648,36063021700,3358
31193,18035001600,2180
35003,22095071000,2594
28122,51023040303,4193
1409702,26163986501,0
11265,42129806100,3334
1201128,36055011709,2853
1542,17201004300,5007
33867,36029000500,2112
9353,16073950200,3792
37321,13063040407,4940
12922,01055010602,4004
667,28047003104,3090
5677,26163513700,2982
34708,42133020221,4880
20740,39169000500,3907
1003268,42087961200,2968
8789,42055011600,6068
23657,55055101701,1434
11646,55079100200,3821
10913,42095018100,6954
13457,34017012700,6009
35737,25009208402,3514
27335,25017385203,4797
20453,18091041600,6262
37124,01097006201,3960
28608,12057012001,2778
1002225,34039031302,4179
4089,48113020200,4416
27635,13051010504,5002
33582,42049011202,7342
17912,24003740800,4709
24421,37101040501,4735
19470,37191000902,5212
1006723,06071002804,5749
7506,18129040200,2160
34783,17031842300,3529
10123,06001401600,2971
2670,48439123200,3121
22204,48217960100,4236
32173,48139060802,8744
25003,42091200707,4347
1002279,42133001400,4262
28861,06077005131,7255
4674,06077004704,5013
