FacilityID,FIPS_1,POPULATION_2020
87107GNRLT1450M,35001003745,1361
60409CDRCY138TH,17031825801,3569
18940LCKHD100CA,42017105202,5102
13601NWYRKSTARB,36045061300,3101
6111WZNTHC52ZEN,17201003811,1360
5305WCPRCSW146N,55133200400,7375
44310HYGNC1245H,39153502102,4808
85226RGRSC100SO,04013980400,14
49508LLDFN4100B,26081012608,4057
55447SRDNF35ANN,27053026514,4801
1731WTCKRN47NRT,42001030802,1542
77536CCDNTTIDAL,48201343601,11
77571LPRTC2400M,48201343601,11
9394WSYNRG8HARR,06053013200,4163
46402SSGRYONENO,18089010205,1249
38113CRGLL2330B,47157980200,11
40033HNDRC655HE,21155970200,4857
45640SCNDSATHEN,39079957600,2725
45662SCNDS11THC,39145003800,4423
08862WTCCR1000C,34023004000,4269
92121PRGRM925BR,06073008350,6228
40391CNTCH700TE,21049020201,3198
71953STRLN104PO,05113950202,3172
95037BBTTL755JA,06085512311,4123
95320HGNMN1STCO,06077004904,4916
32724MMTCM1750M,12127090303,3035
92870XCLLC1924N,06059021813,107
87544SDLSL52835,35028000400,3907
17026FRMRS154WM,42075002100,5132
75507SDDRDSDSRR,48037011302,2220
98103SKPRC434N3,53033004902,3143
73179LLNCS3333S,40109108604,4966
42071VNDRBPENNY,21035010400,2424
03301SCRCR39CHE,33013044100,3694
39345LZBYS33SCA,28101050500,3497
56143GCHMQ202IN,27063480400,3383
61951HYDRG1411H,17139977200,4070
75668SCTND3756F,48343950200,5043
97124SRDNF385NE,41067032608,2267
70669GRGGL1600V,22019002702,3240
85040BFGDR3414S,04013115400,1995
48150BRGWR32059,26163558301,1906
61032SNDST580NH,17177000700,1474
55411BLDNG50LOW,27053101600,3174
77091FRGDP655NH,48201532200,3827
71923SGLTC201TE,05019953901,1831
02370VNTRT30COM,25023502200,5963
46825PRPRD52INC,18003010706,4833
90509LLDSG2525W,06037980005,3
53051BRDLYW142N,55133200103,3017
97132LLNFR500EI,41071030201,6661
12047NRLTC628SO,36001012800,3797
19022DDYSTNO1IN,42045404300,2459
06260DMNSN78HIG,09015903200,2395
66048HLLMR4901S,20103070500,5757
58554RMHSKHWY18,38059020200,8931
59270LWSCLSOFSI,30083070400,2915
08065RMTKN701PU,34005700102,2569
35222BRMCL616NO,01073002402,1246
77091NTNLF442CR,48201531900,5152
47304BRGWR5401K,18035002401,5304
77418NTNLF3965F,48015760502,5311
70094VNDLN5100R,22051028200,4224
24141SDDSRPOBOX,51121021202,3122
14240CHVRLRIVER,36029008400,2385
83501BLNTN150SO,16069960700,5776
83501MRKND2299S,16069960500,4443
39568NGLLSLITTO,28059042900,2190
46506DSTRFDOGWO,18099020102,3602
15522JLGNDWEBER,42009960800,5105
44667VLVGM600EA,39169001100,1394
17233JLGNDJLGDR,42057960100,4799
53027HLGSN7261H,55131440104,6507
08876BMCSN106ME,34035053604,3750
02054BLDNG60CUR,25021407101,4419
46360BLDNG505NR,18091040900,2604
36606BLDNG2400E,01097002501,3448
33619BLDNG5138M,12057013602,2905
07006CNSTN17COM,34013021601,7872
75265BLDNG2600S,48113020500,5259
31408BLDNG1BRAM,13051980000,0
16507BLDNG128WB,42049000300,3684
21224BLDNG1500P,24510260605,5080
28333BLDNG430OL,37191000601,4387
47620BLDNG901GI,18129040500,3061
95206VLMTN431SP,06077002800,6992
76063TRNTY947TR,48251130419,3307
19426SPRRT3900G,42091210700,6048
95054SMTKS3240S,06085505202,7715
95206LTHRB248IN,06077002800,6992
95023LTHRB111HI,06069000501,5834
95205SNTCN6828E,06077003601,3519
92337BLDNG11800,06071002204,6141
16433LRDCRSOUTH,42039110700,3766
53081CLPSM1828O,55117000900,5538
95838JNSNP54RAL,06067007204,5509
89431JNSNP625BE,32031003111,2357
89030JNSNP3853L,32003003626,4267
93501BSYST1688F,06029005900,4163
23803CHPRR25801,51053840500,3949
17601DTCNN1811R,42071011600,6184
18370CNNGHRT611,42089300401,4670
74107SNCLR902W2,40143004900,1666
77465TRNSF17291,48321730600,5501
44087HCRCT225EA,39153530103,4700
76044WNLTL121CU,48251130100,5661
49423LLNXT1305L,26005032401,1715
76065CHPRR300WA,48139060802,8744
99004XNTCH2416C,53063014002,6551
92665MRCLL230BR,06059076204,5009
27102HNSDY600NO,37067000200,1303
91745LLFST152DN,06037980035,623
74106MTLDY1145N,40143001200,1730
92801KNSBR1314N,06059086501,4368
56087SNBRN118WE,27015960600,3103
74107KLHMF5259S,40143006600,2694
56093TRNNC241NS,27161790400,5550
02865CHMRT11NEW,44007011600,6464
08016SPPFNEASTP,34005701203,2142
01801SNMNS8PRES,25017333601,1550
13601STTRL22543,36045061600,5175
82334SNCLREASTL,56007967600,2076
21223LNMRN150SC,24510260605,5080
82609LTTLM5700E,56025001602,7661
92703CHRMT2310W,06059074802,6348
66106KNSSC3401F,20209981500,9
80640SNCLR8581E,08001008535,4389
43212FNKFN824KI,39049007830,3691
46131SSXGR3200E,18081610802,7591
91764JHNSN5125N,06071012700,4000
54308TSCLT132BA,55009001802,6515
54241PNTBC6610N,55071010100,4405
00602SMRTMRD115,,
